주유소 지역별 평균 판매가격구분 :    월간,,,,,,,,,,,,,,,,,
기간:     2015년 06월 ~ 2025년 06월,,,,,,,,,,,,,,,,,
기준선택:  지역별,,,,,,,,,,,,,,,,,
지역:  서울   부산   대구   인천   광주   대전   울산   경기   강원   충북   충남   전북   전남   경북   경남   제주   세종 ,,,,,,,,,,,,,,,,,
제품:    자동차용경유 ,,,,,,,,,,,,,,,,,
2015년 06월 ~ 2025년 06월(원/리터)  ,,,,,,,,,,,,,,,,,
구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2018년01월,1442.11,1333.54,1328.54,1347.68,1335.71,1345.34,1335.85,1351.82,1349.9,1341.91,1346.46,1328.96,1331.79,1328.96,1325.77,1407,1357.59
2018년02월,1452.19,1349.89,1340.58,1360.9,1350.56,1360.33,1353.41,1366.58,1365,1359.38,1363.8,1344.88,1349.41,1343.72,1340.25,1437.15,1376.05
2018년03월,1442.31,1339.65,1331.59,1350.03,1341.35,1353.27,1351.53,1359.48,1362.65,1356.71,1358.98,1340.82,1348.73,1340.76,1334.16,1404.65,1375.04
2018년04월,1441.08,1327.15,1322.71,1344.81,1328.87,1344.38,1344.99,1355.36,1358.75,1353.4,1354.75,1335.45,1345.11,1334.04,1327.69,1396.78,1359.04
2018년05월,1472.51,1362.56,1357.29,1386.68,1360.17,1377.51,1372.14,1389.88,1386.79,1381.62,1381.89,1370.64,1370.11,1362.16,1357.08,1443.27,1381.61
2018년06월,1497.46,1394.19,1390.12,1418.5,1391.53,1404.81,1398.9,1418.61,1418.84,1410.21,1408.93,1400.32,1402.76,1394.48,1387.36,1468.29,1406.59
2018년07월,1498.15,1395.16,1389.59,1418.54,1393.94,1406.88,1401.4,1420.83,1421.8,1413.91,1412.1,1400.42,1406.16,1396.43,1389.15,1456.74,1412.16
2018년08월,1506.51,1402.01,1394.74,1421.72,1400.83,1412.32,1409.89,1428.72,1430.78,1422.79,1419.04,1405.93,1411.41,1402.79,1397.89,1471.24,1422.82
2018년09월,1529.01,1421.02,1413.7,1443.66,1423.03,1435.75,1428.3,1449.08,1446.7,1444.82,1438.28,1427.27,1428.65,1421,1415.33,1506.59,1444.9
2018년10월,1571.81,1467.78,1458.23,1491.36,1474.78,1489.57,1474.99,1494.6,1488.75,1492.24,1484.79,1471.81,1472.75,1468.14,1462.91,1555.34,1489.9
2018년11월,1506.41,1404.78,1389.63,1422.15,1412.1,1420.19,1417.11,1431.19,1436.78,1430.86,1428.17,1411.87,1421.21,1410.04,1406.21,1466.27,1441.97
2018년12월,1420.04,1294.65,1289,1308.29,1316.03,1311.88,1312.47,1327.63,1344.78,1331.54,1329.9,1308.45,1333.73,1310.79,1298.96,1350.93,1358.48
2019년01월,1356.83,1210.14,1208.62,1238.83,1242.3,1236.6,1229.3,1258.08,1273.92,1256.25,1257.03,1231.03,1253.15,1232.26,1219.97,1288.28,1271.98
2019년02월,1341.05,1215.2,1205.13,1241.61,1230.45,1232.45,1227.17,1250.4,1262.13,1248.51,1249.09,1227.57,1241.42,1226.24,1216.87,1292.48,1260.79
2019년03월,1359.31,1250.63,1238.38,1266.96,1253.57,1268.24,1257.45,1276.91,1277.71,1275.26,1272.66,1260.64,1260.11,1251.95,1247.36,1328.84,1274.94
2019년04월,1406.65,1305.57,1297.81,1317.97,1299.46,1315.74,1310.69,1323.21,1319.2,1321.09,1314.68,1309.67,1303.32,1302.94,1297.2,1359.45,1320.05
2019년05월,1473.8,1373.38,1373.13,1393.96,1365.54,1391.88,1379.3,1391.07,1387.14,1387.91,1384.2,1371.99,1371.39,1376.1,1367.39,1424.73,1389.96
2019년06월,1469.85,1367.75,1359.66,1357.61,1356.49,1374.6,1366.6,1380.79,1394.63,1385.23,1381.36,1364.02,1377.35,1371.03,1365.1,1435.64,1389.81
2019년07월,1451.53,1339.62,1324.88,1336.33,1327.4,1351.06,1337.51,1353.28,1373.05,1357.16,1355.35,1337.1,1350.77,1339.38,1337.27,1418.96,1357.64
2019년08월,1454.28,1338.27,1322.59,1340.32,1327.97,1352.72,1339.05,1353.64,1370,1353.36,1353.16,1339.79,1346.79,1336.43,1335.51,1418.71,1353.83
2019년09월,1487.58,1365.06,1349.14,1373.77,1357.53,1385.65,1368.66,1384.09,1393.2,1378.49,1383.33,1363.87,1370.41,1362.44,1361.6,1460.78,1388.61
2019년10월,1486.19,1368.66,1356.27,1376.86,1367.84,1388.86,1373.05,1390.97,1406.05,1388.71,1391.74,1372.98,1380.58,1370.72,1371.09,1475.06,1396.06
2019년11월,1468.9,1359.03,1350.8,1370.32,1363.95,1376.93,1367.81,1382.5,1400.41,1384.45,1384.91,1367.16,1377.67,1365.86,1364.64,1447.04,1384.3
2019년12월,1472.68,1365.1,1358.89,1382.24,1368.26,1387.16,1375.18,1388.61,1400.36,1388.48,1388.16,1375.72,1380.59,1369.75,1368.98,1441.73,1387.16
2020년01월,1483.56,1378.54,1374.25,1399.85,1380.82,1398.58,1391.32,1402.07,1411.52,1399.47,1399.41,1384.82,1393.9,1383.63,1381.84,1471.57,1402.9
2020년02월,1455.88,1344.53,1340.02,1358.05,1351.32,1346.97,1365.69,1370.11,1393.79,1374.12,1371.59,1350.38,1377.43,1359.55,1354.7,1437.27,1369.21
2020년03월,1382.16,1253.96,1236.18,1263.1,1269.8,1241.51,1270.36,1279.23,1313.29,1287.38,1286.37,1260.65,1301.96,1264.19,1262.1,1331.48,1278.36
2020년04월,1237.83,1098.41,1080.53,1109.82,1126.7,1095.57,1115.09,1130.43,1164.1,1139.98,1140.81,1119.24,1155.48,1112.55,1110.86,1198.05,1126.08
2020년05월,1168.79,1040.46,1024.97,1055.62,1054.65,1046.07,1044.25,1066.6,1085.34,1072.05,1071.35,1054.8,1075.35,1046.16,1044.39,1141.27,1065.27
2020년06월,1230.49,1109.39,1099.27,1147.19,1107.95,1129.82,1106.68,1140.09,1136.13,1127.02,1129.35,1112.64,1112.88,1105.01,1108.12,1194.09,1129.32
2020년07월,1261.81,1151.2,1138.63,1164.95,1144.95,1155.51,1147.08,1172.48,1169.67,1163.76,1162.68,1148.3,1151.84,1145.73,1146.95,1207.07,1162.72
2020년08월,1265.42,1153.24,1136.35,1165.76,1142.78,1151.05,1150.23,1170.98,1173.73,1165.22,1162.91,1147.76,1157.42,1146.68,1147.06,1206.94,1164.5
2020년09월,1253.3,1141.55,1121.81,1146.78,1130.11,1135.61,1142.34,1157.79,1168.31,1159.37,1155.23,1140.72,1154.38,1136.89,1138.37,1232.52,1153.24
2020년10월,1231.73,1115.32,1101.4,1130.53,1108.94,1111.97,1121.22,1137.15,1151.69,1141.17,1135.6,1120.5,1140.22,1114.49,1118.76,1176.24,1135.76
2020년11월,1214.55,1099.3,1088,1113.48,1096.49,1105.82,1103.99,1123.67,1134.95,1123.57,1122.28,1108.78,1124.06,1100.42,1104.21,1164.51,1124.28
2020년12월,1255.59,1152.62,1144.14,1181.15,1152.44,1171.27,1155.08,1177.28,1171.81,1172.9,1167.21,1155.79,1159.66,1149.83,1151.52,1214.89,1165.98
2021년01월,1321.59,1231.38,1226.88,1257.51,1228.48,1239.49,1241.71,1251.39,1235.63,1244.41,1236.59,1230.62,1235.13,1228.63,1227.59,1281.41,1243.14
2021년02월,1347.96,1250.7,1241.69,1267.79,1246.34,1259.76,1258.22,1272.28,1258.44,1264.5,1260.8,1249.53,1255.39,1246.98,1248.88,1341.93,1267.83
2021년03월,1400.02,1306.64,1288.79,1318.48,1297.97,1307.47,1303.68,1321.31,1310.71,1314.79,1310.17,1299.84,1302.79,1293.72,1298.02,1385.78,1316.19
2021년04월,1413.45,1323.81,1310.75,1331.16,1316.76,1322.43,1320.22,1337.9,1335.83,1334.8,1332.61,1323.22,1327.33,1315.95,1319.27,1411.21,1336.55
2021년05월,1422.41,1327.81,1313.06,1338.54,1323.26,1332.59,1324.18,1343.85,1345.3,1342.15,1340.89,1332.38,1334.16,1320.52,1325.39,1382.86,1345.02
2021년06월,1459.64,1360.34,1350.45,1377.04,1365.51,1376.62,1357.02,1381.53,1380.61,1376.97,1376.74,1366.87,1368.75,1358.6,1359.17,1373.31,1382.84
2021년07월,1510.23,1418.01,1406.2,1430.12,1415.2,1424.74,1414.73,1432.91,1430.7,1425.85,1423.71,1413.93,1418.66,1409.03,1411.02,1458.37,1428.38
2021년08월,1526.71,1430.23,1418.5,1439.06,1428.62,1431.46,1429,1447.03,1449.65,1442.26,1438.36,1426.92,1436.89,1423.35,1427.37,1489.04,1441.99
2021년09월,1522.31,1426.96,1412.77,1437.99,1425,1429.52,1421.79,1442.02,1448.46,1439.12,1436.91,1422.82,1436.64,1420.59,1425.11,1473.15,1439.5
2021년10월,1591.46,1490.87,1486.9,1517.04,1494.43,1515.02,1493.5,1516.85,1516.41,1512.51,1510.31,1496.83,1499.22,1493.46,1493.5,1562.54,1510.81
2021년11월,1618.4,1520.57,1521.55,1543.65,1540.08,1541.68,1533.41,1556.93,1560.92,1552.81,1552.64,1541.73,1546.44,1535.54,1534.24,1620.37,1547.61
2021년12월,1539.56,1441.57,1438.58,1457,1469.99,1450.35,1447.17,1469.46,1493.94,1473.68,1470.24,1456.13,1482.29,1457.26,1456.81,1498.25,1468.89
2022년01월,1535.69,1437.91,1421.46,1454.45,1453.01,1447.26,1438.13,1455.26,1474.6,1455.06,1454.63,1434.81,1460.21,1434.54,1440.06,1514.69,1451.76
2022년02월,1614.18,1516.08,1509.13,1549.02,1523.05,1536.03,1519.1,1543.65,1545.03,1537.17,1535.17,1523.46,1529.34,1520.09,1519.4,1640.22,1537.46
2022년03월,1907.9,1814.59,1810.64,1840.95,1800.91,1835.39,1832.33,1839.14,1820.21,1830.18,1823.42,1796.08,1803.36,1811.57,1819.61,1938.15,1827.47
2022년04월,1972.8,1883.79,1874.2,1902.83,1890.23,1898.05,1890.95,1911.15,1920.7,1912.14,1908.95,1887.74,1906.42,1892.46,1897.24,1989.02,1910.99
2022년05월,2018.48,1938.13,1934.16,1961.82,1946,1958.54,1942.64,1967.27,1975.05,1970.48,1968.12,1956.93,1964.12,1952.59,1953.14,2057.34,1960.32
2022년06월,2151.39,2069.63,2061.22,2091.4,2062.29,2089.86,2073.64,2094.09,2100.22,2093.8,2090.93,2074.49,2081.37,2075.86,2079.72,2184.71,2089.68
2022년07월,2135.77,2059.73,2047.8,2071.56,2073.02,2075.47,2065.19,2084.16,2107.7,2092.12,2090.09,2073.05,2098.41,2073.65,2080.48,2119.42,2091.98
2022년08월,1945.22,1860.47,1843.96,1867.38,1876.14,1873.53,1859.82,1885.5,1916.94,1894.16,1898.77,1885.28,1911.99,1876.89,1878.27,1945.41,1895.71
2022년09월,1920.22,1819.09,1804.32,1844.9,1828.3,1849.73,1813.22,1853.23,1871.78,1856.71,1855.96,1841.2,1856.92,1827.6,1832.29,1995.77,1860.8
2022년10월,1904.1,1808.98,1802.39,1839.83,1815.17,1830.34,1805.93,1839.35,1854.21,1845.74,1843.2,1830.92,1843.25,1819.46,1822.99,1977.39,1844.55
2022년11월,1937.87,1858.28,1845.14,1874.05,1861.7,1876.21,1854.11,1879.68,1892.79,1887.12,1886.26,1872.18,1884.59,1864.45,1867.93,1948.59,1886.8
2022년12월,1865.33,1755.69,1735.71,1753.52,1760.62,1788.4,1757.18,1779.87,1810.21,1789.07,1801.99,1777.96,1807.07,1766.77,1769.46,1760.24,1792.68
2023년01월,1759.17,1640.48,1626.49,1649.21,1659.21,1681.39,1640.92,1671.31,1700.8,1681,1690.62,1671.73,1698.82,1656.55,1662.75,1692.73,1689.99
2023년02월,1694.53,1576.4,1557.98,1579.82,1590.23,1603.6,1576.79,1603.58,1636.05,1608.79,1618.8,1603.34,1624.24,1586.6,1595.98,1627.73,1608.43
2023년03월,1635.38,1514.58,1496.29,1516.49,1525.23,1538.07,1512.67,1536.31,1565.48,1542.61,1550.56,1534.45,1557.63,1516.18,1528.82,1575.71,1538.61
2023년04월,1633.88,1512.8,1502.55,1530.29,1509.42,1541.71,1511.35,1540.17,1550.19,1535.64,1544,1524.24,1539.76,1514.51,1522.5,1567.99,1539.85
2023년05월,1576.39,1454.43,1422.07,1437.73,1444.74,1459.65,1450.06,1468.68,1498.96,1482.19,1486.24,1456.06,1488.16,1453.19,1464.94,1473.55,1478.17
2023년06월,1502.67,1376,1350.97,1370.2,1375.96,1388.27,1367.14,1389.69,1416.76,1402.02,1406.48,1381.38,1410.74,1374.45,1384.26,1414.28,1406.25
2023년07월,1508.8,1374.3,1365.36,1398.39,1377.76,1396.35,1367.73,1399.42,1408.3,1399.61,1401.12,1387.03,1397.51,1374.9,1379.06,1442.76,1403.73
2023년08월,1674.89,1562.77,1561.24,1599.91,1533.16,1584.29,1560.65,1588.53,1578.37,1571.65,1566.06,1544.36,1547.13,1555.07,1560.68,1644.37,1576.35
2023년09월,1751.44,1653.87,1637.13,1665.36,1642.89,1666.05,1649.54,1672.49,1679.35,1667.27,1667.02,1647.3,1660.55,1650.43,1655.23,1747.76,1671.04
2023년10월,1770.9,1673.81,1647.08,1676.89,1671.36,1680.77,1668.04,1692.98,1709.78,1696.09,1697.99,1676.96,1692.75,1675.65,1678.13,1742.99,1696.71
2023년11월,1703.18,1597.99,1585.18,1605.79,1610.59,1614.86,1601.89,1623.77,1655.58,1638.56,1643.47,1620.59,1642.76,1614.9,1617.67,1651.83,1630.38
2023년12월,1609.46,1492.05,1478.81,1510.53,1503.69,1513.91,1490.64,1522.62,1554.21,1539.58,1544.65,1522.48,1543.41,1509.03,1511.08,1538.5,1525
2024년01월,1568.06,1451.7,1434.82,1470.35,1457.4,1472.48,1449.98,1480.8,1505.37,1491.86,1491.06,1473.59,1490.18,1461.18,1464.49,1492.87,1485.53
2024년02월,1611.32,1500.35,1485.28,1521.67,1497.6,1517.87,1500.28,1522.3,1531.19,1521.25,1519.58,1503.32,1511.07,1501.49,1501.91,1586.23,1520.31
2024년03월,1623.32,1521.93,1505.28,1539.92,1519.68,1535.61,1522.54,1543.12,1550.21,1540.82,1543.74,1525.08,1537.53,1525.72,1524.79,1588.92,1540.37
2024년04월,1641.57,1537.78,1522.65,1558.05,1539.87,1560.14,1535.32,1559.06,1570.02,1560.15,1564.47,1544.35,1558.04,1542.65,1544.53,1635.42,1558.99
2024년05월,1627.24,1515.16,1495.47,1526.28,1520.67,1538.74,1511.88,1537.43,1563.95,1545.49,1549.2,1527.16,1554.54,1522.56,1531.27,1558.92,1541.58
2024년06월,1580.46,1467.08,1441.93,1459.57,1473.58,1483.56,1464.65,1483.08,1511.38,1496.42,1495.24,1477.95,1508.03,1466.84,1477.23,1530.89,1486.46
2024년07월,1637.64,1530.19,1512.06,1546.7,1522.5,1557.84,1520.96,1548.3,1553.23,1544.71,1540.33,1526,1543.24,1522.24,1524.91,1613.79,1541.33
2024년08월,1615.62,1507.17,1492.63,1535.63,1510.53,1528.09,1501.27,1529.6,1548.93,1532.7,1534.13,1514.41,1536.88,1511.44,1517.03,1564.53,1525.78
2024년09월,1544.18,1435.19,1415.41,1450.28,1435.84,1453.31,1433.22,1452.72,1479.94,1466.1,1470.94,1449.32,1474.51,1443.08,1448.29,1473.68,1459.24
2024년10월,1511.46,1394.06,1379.85,1418.79,1395.78,1420.85,1399.35,1418.79,1440.3,1428.6,1430.32,1415.12,1430.18,1407.34,1408.04,1453.94,1421.7
2024년11월,1552.6,1434.12,1424.26,1465.04,1436.8,1462.46,1437.38,1463.43,1476.98,1466.57,1466.19,1446.01,1458.51,1448.44,1445.46,1527.02,1465.74
2024년12월,1576.73,1480.94,1464.66,1495.39,1479.5,1494.41,1476.16,1498.25,1509.09,1501.14,1500.74,1484.38,1494.97,1488.14,1487.31,1548.79,1501.75
2025년01월,1643.45,1554.23,1534.73,1568.22,1545.93,1564.16,1546.99,1566.29,1571.22,1566.79,1565.65,1548.8,1557.02,1552.44,1555.61,1605.65,1565.55
2025년02월,1665.71,1579.33,1562.8,1594.8,1583.6,1592.72,1575.9,1594.77,1606.84,1599.32,1598.19,1579.21,1593.28,1582.48,1584.05,1645.38,1603.68
2025년03월,1625.31,1531.36,1517.56,1534.43,1548.83,1541.39,1528.37,1546.24,1579.58,1565.2,1561.31,1549.7,1569.64,1545.63,1545.85,1614.45,1560
2025년04월,1592.64,1481.91,1469.02,1501.87,1502.4,1497.68,1474.98,1505.4,1541.68,1523.92,1520,1512.32,1530.85,1499.47,1502.51,1559.51,1516.4
2025년05월,1592.06,1474.67,1457.75,1499.86,1489.87,1499.99,1463.44,1498.32,1525.82,1511.45,1509.34,1498.24,1513.77,1484.17,1488.69,1545.36,1501.89
2025년06월,1593.57,1489.33,1466.97,1506.37,1494.97,1505.56,1483.76,1502.53,1519.43,1513.9,1509.67,1497.69,1507.43,1491,1493.62,1557.12,1500.88
