총괄현황(전기차),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
시도,지역구분,차종,접수방법,민간공고대수,,,,,,접수대수,,,,,,접수 잔여대수,,출고대수,,출고잔여대수,비고
,,,,"전체
(우선순위)
(법인·기관)
(택시)
(일반)",전체,우선순위,법인·기관,택시,일반,"전체
(우선순위)
(법인·기관)
(택시)
(일반)",전체,우선순위,법인·기관,택시,일반,전체,일반,"전체
(우선순위)
(법인·기관)
(택시)
(일반)",전체,"전체
(우선순위)
(법인·기관)
(택시)
(일반)",
서울,서울특별시,전기승용,"*일반: 접수순
*우선: 접수순","14836
 (1445)
 (2027)
 (0)
 (11364)",14836,1445,2027,0,11364,"16406
 (618)
 (9410)
 (0)
 (6378)",16406,618,9410,0,6378,0,4986,"16066
 (595)
 (9410)
 (0)
 (6061)",16066,"0
 (850)
 (0)
 (0)
 (5303)","**지급신청 시 지급신청서 원본 1장을 다음 주소로 송부바랍니다**
주소) 서울시 중구 덕수궁길 15, 서소문청사 1동 11층 기후변화대응과 전기차 담당

★서울시 2022 공고 2월 중순 예정★"
부산,부산광역시,전기승용,"*일반: 접수순(초과시 출고등록순)
*우선: 출고등록순","4964
 (547)
 (2528)
 (0)
 (1889)",4964,547,2528,0,1889,"5351
 (592)
 (2601)
 (0)
 (2158)",5351,592,2601,0,2158,0,0,"4991
 (560)
 (2529)
 (0)
 (1902)",4991,"0
 (0)
 (0)
 (0)
 (0)",승용차 대상자 확정 마감되었음
대구,대구광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","2711
 (0)
 (0)
 (0)
 (2711)",2711,0,0,0,2711,"3419
 (56)
 (737)
 (0)
 (2626)",3419,56,737,0,2626,0,85,"3114
 (53)
 (643)
 (0)
 (2418)",3114,"0
 (0)
 (0)
 (0)
 (293)","ㅇ 보급수량 : 4,043대 [승용차 2,451(일반 1,226, 법인 980, 우선순위 245), 화물차 1,496(일반 1,198, 중소기업 149, 우선순위 149), 버스 96]
* (승용차,화물차) 최초 공고 후 6개월 경과부터 물량 구분 없이 통합하여 집행
ㅇ 보급기간 : 2021. 02. 17.(수) ∼ 2021. 12. 24.(금)
ㅇ 신청 수량 제한
- 개 인 : 1대, 개인사업자 : 10대(2대 이상 차량 구입 시 대표자 및 사업장 주소지가 모두 대구시로 제한)
- 법 인 : 10대
(11대 이상 신청 시 대구시에 구매 사유 등 사업계획서 제출)"
인천,인천광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","4268
 (0)
 (0)
 (0)
 (4268)",4268,0,0,0,4268,"4811
 (78)
 (2553)
 (0)
 (2180)",4811,78,2553,0,2180,0,2088,"4264
 (76)
 (2173)
 (0)
 (2015)",4264,"4
 (0)
 (0)
 (0)
 (2253)",승용차 대상자 확정 마감되었음
광주,광주광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1277
 (115)
 (459)
 (0)
 (703)",1277,115,459,0,703,"1184
 (47)
 (394)
 (0)
 (743)",1184,47,394,0,743,93,0,"1184
 (47)
 (394)
 (0)
 (743)",1184,"93
 (68)
 (65)
 (0)
 (0)",대상자 선정마감되었습니다.
대전,대전광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","3178
 (318)
 (1273)
 (0)
 (1587)",3178,318,1273,0,1587,"2918
 (104)
 (1072)
 (0)
 (1742)",2918,104,1072,0,1742,260,0,"2918
 (104)
 (1072)
 (0)
 (1742)",2918,"260
 (214)
 (201)
 (0)
 (0)",승용차 대상자 확정 마감되었음
울산,울산광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","475
 (48)
 (149)
 (0)
 (278)",475,48,149,0,278,"512
 (50)
 (69)
 (0)
 (393)",512,50,69,0,393,0,0,"512
 (50)
 (69)
 (0)
 (393)",512,"0
 (0)
 (80)
 (0)
 (0)",승용차 대상자 확정 마감
세종,세종특별자치시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","426
 (0)
 (0)
 (0)
 (426)",426,0,0,0,426,"673
 (34)
 (315)
 (0)
 (324)",673,34,315,0,324,0,102,"426
 (33)
 (129)
 (0)
 (264)",426,"0
 (0)
 (0)
 (0)
 (162)",전기승용차 대상자 확정 마감되었음
경기,수원시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","948
 (110)
 (160)
 (0)
 (678)",948,110,160,0,678,"937
 (214)
 (142)
 (0)
 (581)",937,214,142,0,581,11,97,"937
 (214)
 (142)
 (0)
 (581)",937,"11
 (0)
 (18)
 (0)
 (97)","○ 휴먼콜센터(1899-3300)  
○ 하반기 지원사업 마감했습니다.(10.01.)"
경기,성남시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1020
 (93)
 (370)
 (0)
 (557)",1020,93,370,0,557,"1030
 (126)
 (368)
 (0)
 (536)",1030,126,368,0,536,0,21,"1007
 (126)
 (345)
 (0)
 (536)",1007,"13
 (0)
 (25)
 (0)
 (21)","성남시 전기승용차 보급 사업
(우선순위, 법인기관, 일반) 전체 접수 2021. 8. 4.(수) 마감
* 전체 대상자 확정 마감"
경기,의정부시,전기승용,"*일반: 접수순
*우선: 접수순","380
 (38)
 (152)
 (0)
 (190)",380,38,152,0,190,"363
 (48)
 (135)
 (0)
 (180)",363,48,135,0,180,17,10,"363
 (48)
 (135)
 (0)
 (180)",363,"17
 (0)
 (17)
 (0)
 (10)",12월 1일 전기승용 마감
경기,안양시,전기승용,"*일반: 접수순
*우선: 접수순","477
 (0)
 (0)
 (0)
 (477)",477,0,0,0,477,"490
 (27)
 (164)
 (0)
 (299)",490,27,164,0,299,0,178,"481
 (27)
 (155)
 (0)
 (299)",481,"0
 (0)
 (0)
 (0)
 (178)","○ 전기승용차 대상자 선정 완료
○ 대기자로 접수 가능

※취소 건 발생 시마다 대상자선정 안내문자 발송 예정"
경기,부천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","364
 (37)
 (146)
 (0)
 (181)",364,37,146,0,181,"469
 (79)
 (140)
 (0)
 (250)",469,79,140,0,250,0,0,"376
 (62)
 (136)
 (0)
 (178)",376,"0
 (0)
 (10)
 (0)
 (3)","*2021년 전기자동차 보급사업 종료되었습니다.
*2022년 사업은 공고즉시 저공해차 구매보조금 지원시스템에 업로드할 예정이니 총괄현황의 부천시 공고문이 업로드 되면
확인하시어 일정대로 접수하여 주시기 바랍니다."
경기,광명시,전기승용,"*일반: 출고등록순
*우선: 접수순","227
 (19)
 (11)
 (0)
 (197)",227,19,11,0,197,"223
 (25)
 (19)
 (0)
 (179)",223,25,19,0,179,4,18,"223
 (25)
 (19)
 (0)
 (179)",223,"4
 (0)
 (0)
 (0)
 (18)",10월1일 09시부터 접수시작 (변경공고문 참조)
경기,평택시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","280
 (0)
 (0)
 (0)
 (280)",280,0,0,0,280,"336
 (23)
 (42)
 (0)
 (271)",336,23,42,0,271,0,9,"293
 (23)
 (40)
 (0)
 (230)",293,"0
 (0)
 (0)
 (0)
 (50)",대상자 확정 마감
