총괄현황(전기차),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
시도,지역구분,차종,접수방법,민간공고대수,,,,,,접수대수,,,,,,접수 잔여대수,,출고대수,,출고잔여대수,비고
,,,,"전체
(우선순위)
(법인·기관)
(택시)
(일반)",전체,우선순위,법인·기관,택시,일반,"전체
(우선순위)
(법인·기관)
(택시)
(일반)",전체,우선순위,법인·기관,택시,일반,전체,일반,"전체
(우선순위)
(법인·기관)
(택시)
(일반)",전체,"전체
(우선순위)
(법인·기관)
(택시)
(일반)",
서울,서울특별시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","16300
 (1650)
 (2500)
 (3000)
 (9150)",16300,1650,2500,3000,9150,"16007
 (510)
 (3928)
 (3314)
 (8255)",16007,510,3928,3314,8255,293,895,"15183
 (504)
 (3736)
 (2841)
 (8102)",15183,"1117
 (1146)
 (0)
 (159)
 (1048)","★★전기화물 전체 마감(10.19.)★★ 자격부여 불가합니다.
★★어린이통학차량 마감(11.9.)★★ 자격부여 불가합니다.

★잔여대수는 매일 본사로 안내 중이오니 본사로 문의 바랍니다.
★제작수입사 본사에서 10일 이내 차량출고 가능하다고 제출한 명단에 한하여 서울시에서 자격부여합니다.
※※※ 본사를 통해 10일 이내 출고가능 명단을 통보하지 않는 차량은 자격부여 하지 않을 예정임 ※※※
★제작수입사 지점, 대리점(카마스터, 직원 포함)의 전기차 업무처리 (단순문의 포함) 등 관련 모든 문의는 해당 제조수입사 본사에 문의 바랍니다.
★대상자선정 마감은 지원가능여부확인요청순에 따라 처리할 예정입니다.

&lt;2022년도 하반기 전기자동차 민간 보급사업 추가 공고&gt;
ㅇ 보급대수: 총 15,520대(승용차 13,300, 화물차 2,200, 승합 20)
ㅇ 신청일시
   - 전기화물: ’22. 02. 22.(화). 10:00 ～ 12.16.(금)
   - 전기승용 및 전기승합: ’22. 03. 02.(수). 10:00 ～ 12.16.(금) 18:00
※ 12. 16.(금)까지 출고·등록순에 따라 자격 부여 및 대상자로 선정된 자에 한해  보조금지원 대상자로 선정(※ 12.16일 이전 예산 소진 시 조기 마감)
※ 12. 16.(금) 이전 자격부여를 받았음에도 대상자로 선정되지 않은 경우 자격부여 취소
※ 12. 16.(금)까지 예산 미소진 시, 10. 4일 접수분부터 접수순에 따라 예산 한도내 자격부여"
부산,부산광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","6410
 (485)
 (2125)
 (860)
 (2940)",6410,485,2125,860,2940,"7313
 (102)
 (3095)
 (1150)
 (2966)",7313,102,3095,1150,2966,0,0,"6691
 (98)
 (2674)
 (1100)
 (2819)",6691,"0
 (387)
 (0)
 (0)
 (121)","★전기승용차, 전기화물차 마감 알림(11.10일)

전기승용차 및 전기화물차 보조금 지급 신청이 마감되었습니다. 추가 접수는 불가하며, 현재 자격부여 상태는 보조금 지급이 아닌 대기 상태입니다. 만약 취소물량 발생시 지원가능확인 단계에서 전기자동차 구매지원 신청서 접수순으로 대상자를 선정합니다.
※ 출고 기한내 출고하지 않은 차량은 취소할 예정입니다. 
---------------------------------------------------------------------------------------------------------------
2022년도 전기자동차 보급사업 공고
ㅇ 보급대수: 8,251대(승용차 6,410대, 화물차 1,668대, 승합 173대) - 1,2차 합산
- 승용차: 
   1차 : 일반(1,340),법인·기관(1,455),택시(700),우선순위(485대), K-EV100부산(800), 부산청춘드림카((70)
   2차 : 일반(800),법인·기관(600),택시(160)
- 화물차
    1차 : 일반(598),법인·기관(200),우선순위(100), 중소기업생산물량(100)
    2차 : 일반(400),법인·기관(70),중소기업생산물량((100)
- 승   합: 
    1차 : 56대(시내버스 우선), 어린이통합버스(20) 
    2차 : 97대 (시내버스 우선)
ㅇ 접수기간: ’22. 2. 15. 13:00 ～ 12. 9. 18:00
ㅇ 2차 보급물량은 1차 보급물량(본공고)에 합산되어 진행                  
ㅇ 신청자격
- (개인) 신청서 접수일 기준 90일전부터 연속하여 부산광역시에 주소를 두어야 함
- (개인사업자) 1대 구매시 개인으로 간주, 2대 이상의 차량 구매시 대표자 및 사업장 주소 모두 부산시인 경우 가능
- (법인) 부산시에 주소를 둔 사업자 (본사, 지사, 공장, 자동차 대여사업소 등)"
대구,대구광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","5926
 (106)
 (2044)
 (1033)
 (2743)",5926,106,2044,1033,2743,"6601
 (110)
 (2302)
 (1213)
 (2976)",6601,110,2302,1213,2976,0,0,"6497
 (108)
 (2257)
 (1206)
 (2926)",6497,"0
 (0)
 (0)
 (0)
 (0)","★★전기화물 전체 마감(10.31.)★★
추가 신청접수 불가하며, 현재 자격부여 상태는 보조금 지원 대상이 아닌 대기 상태입니다.
취소 물량 발생시, 전기화물차 구매 지원신청서 접수순으로 대상자선정 


★★전기승용 전체 마감(11.2.)★★
추가 신청접수 불가하며, 현재 자격부여 상태는 보조금 지원 대상이 아닌 대기 상태입니다.
취소 물량 발생시, 전기자동차 구매 지원신청서 접수순으로 대상자선정

※출고 기한 내에 출고하지 않는 차량은 취소할 예정입니다※

------------------------------------------------------------------------------------------------------------------
★7/1 2차보급 시작

ㅇ 총 보급수량 : 6,114대 [승용차 4,471, 화물차 1,582, 버스 16]   
 * 전체 보급 : 6,053대 [승용차 4,471(일반 1,789 , 법인·기관 1,341, 택시(개인 447, 법인 447), 우선순위 447), 화물차 1,582(일반 950, 법인·기관 318, 중소기업생산 157, 우선순위 157), 버스 16]
ㅇ 보급기간 : 공고일 당일 ∼ 2022. 12. 23.(금)
ㅇ 신청 수량 제한
- 개 인 : 1대 
- 개인사업자 : 10대(2대 이상 차량 구입 시 대표자 및 사업장 주소지가 모두 대구시로 제한)
- 법 인 : 100대 (100대 초과 신청 시 대구시에 구매 사유 등 사업계획서 제출)"
인천,인천광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","10030
 (1005)
 (2955)
 (985)
 (5085)",10030,1005,2955,985,5085,"11419
 (91)
 (6216)
 (1342)
 (3770)",11419,91,6216,1342,3770,0,1315,"10028
 (85)
 (5307)
 (1190)
 (3446)",10028,"2
 (920)
 (0)
 (0)
 (1639)","------------------------------------------------------------------------------------------------------------------------------------------------------------
★★전기승용차 전체 마감(11.22.)★★ 
추가 자격부여 불가하며, 현재 자격부여 상태는 보조금 지원 대상이 아닌 대기 상태입니다.
취소 물량 발생 시 지원가능확인요청순으로 추가 대상자선정 처리할 예정입니다.

★잔여대수는 매일 본사로 안내 중이오니 본사로 문의 바랍니다.
★제작수입사 본사에서 10일 이내 출고가능 가능하다고 제출한(첨부한) 출고예시로 인천시에서는 대상자선정을 실시하고 있습니다.
※※본사를 통해 10일 이내 출고가능 명단을 통보하지 않는 차량은 자격부여를 하지 않을 예정임※※
★제작수입사 지점,대리점(카마스터, 직원 포함)의 전기차 업무처리(단순문의 포함)등 관련 모든 문의는 해당 제조수입사 본사에 문의 바랍니다.
★대상자선정 마감은 지원가능여부확인요청순에 따라 처리할 예정입니다.
------------------------------------------------------------------------------------------------------------------------------------------------------------

★2022년 전기자동차 민간보급사업 변경공고(2차) 안내★
○ 신청기간 : 2022. 10. 4. 11:00 ~ 2022.11. 30. 18:00(예산 소진 시 종료)
   - 상반기(1차) 잔여물량 + 하반기(2,3차) 물량을 포함한 총 보급대수로 변경 공고
○ 보급대수: 10,040대 (일반 5,095대, 법인,기관 2,955대, 택시 985대, 우선순위 1,005대)
○ 신청자격
   - (개인) 신청서 접수일 기준 30일전부터 연속하여 인천광역시에 주소를 둔 만 18세 이상 인천시민
   - (법인) 신청서 접수일 전일 현재 인천광역시내 사업장(본사, 지사,  공장, 자동차 대여사업소 등)이 위치한 법인, 단체,기관     
○ 보급대수제한: 개인(1대), 개인사업자(5대), 법인(100대)"
광주,광주광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","2684
 (269)
 (806)
 (269)
 (1340)",2684,269,806,269,1340,"2709
 (51)
 (503)
 (426)
 (1729)",2709,51,503,426,1729,0,0,"2661
 (51)
 (489)
 (421)
 (1700)",2661,"23
 (218)
 (317)
 (0)
 (0)","★ 2022년 전기가동차 민간보급사업 변경공고(2차) ★
 - 접수마감(전기승용,전기화물 대상자 선정 완료)
 - 선정자중 취소자 발생할 경우, 지원가능 확인 요청순에 따라 추가 선정"
대전,대전광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","5648
 (530)
 (1587)
 (530)
 (3001)",5648,530,1587,530,3001,"5903
 (95)
 (2040)
 (951)
 (2817)",5903,95,2040,951,2817,0,184,"5724
 (94)
 (1996)
 (924)
 (2710)",5724,"0
 (436)
 (0)
 (0)
 (291)","* 2022. 7. 1.일부터 &quot;우선순위물량&quot;을 제외한, &quot;택시물량&quot;, &quot;법인물량&quot;은 추가 공고 없이 일반물량과 통합하여 지원

○ 접수기간 : 2022. 2. 17. 09:00 ~ 2022. 12. 9. 18:00
    - 상반기 : 2022. 2. 17. 09:00 ~ 2022. 6. 30. 18:00
    - 하반기 : 2022. 7. 1. 09:00 ~ 2022. 12. 9. 18:00
 * 예산 또는 물량 소진 시까지 / 상반기 잔여분 발생시 하반기 보급물량에 합산
○ 보급대수 : 승용 5,288대(상반기 3,702, 하반기 1,586) * 보급여건 및 예산증감에 따라 변동가능
  - 우선순위 10%, 택시 10%, 법인기관 30%, 일반 50%
○ 신청 대수 제한
  - 개인 : 1대
  - 개인사업자 : 20대(2대 이상 차량 구매시 대표자 및 사업장 주소 모두 대전시로 제한)
  - 법인: 20대 (리스 및 장기 렌트일 경우 소재지 또는 실사용자의 주소지 대전시면 지원)

* 지원신청 접수 처리는 약 1~2일소요되며, 빠른 승인을 위해 신청서 승인요청 전화문의는 자제 부탁드립니다."
울산,울산광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1451
 (96)
 (230)
 (236)
 (889)",1451,96,230,236,889,"1464
 (98)
 (235)
 (235)
 (896)",1464,98,235,235,896,0,0,"1447
 (96)
 (229)
 (235)
 (887)",1447,"4
 (0)
 (1)
 (1)
 (2)","*  승용 마감되었습니다. *

- 지급신청 후 원본서류 미제출
 * 원본대조필 날인 후 전산등록만 해주시면 됩니다. 
 * 파일 합쳐서 업로드 시 화질이 떨어진다면 각각 업로드 바랍니다."
세종,세종특별자치시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","749
 (47)
 (141)
 (47)
 (514)",749,47,141,47,514,"866
 (71)
 (111)
 (38)
 (646)",866,71,111,38,646,0,0,"784
 (68)
 (111)
 (30)
 (575)",784,"0
 (0)
 (30)
 (17)
 (0)",전기승용 마감
경기,수원시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1864
 (0)
 (0)
 (0)
 (1864)",1864,0,0,0,1864,"1883
 (72)
 (224)
 (289)
 (1298)",1883,72,224,289,1298,0,566,"1883
 (72)
 (224)
 (289)
 (1298)",1883,"0
 (0)
 (0)
 (0)
 (566)","&lt;2022년 전기자동차(승용) 대상자선정 완료&gt; - 마감공고 

○ 22.10.28,(금) 대상자 선정완료(예산소진)"
