총괄현황(전기차),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
시도,지역구분,차종,접수방법,민간공고대수,,,,,,접수대수,,,,,,접수 잔여대수,,출고대수,,출고잔여대수,비고
,,,,"전체
(우선순위)
(법인·기관)
(택시)
(일반)",전체,우선순위,법인·기관,택시,일반,"전체
(우선순위)
(법인·기관)
(택시)
(일반)",전체,우선순위,법인·기관,택시,일반,전체,일반,"전체
(우선순위)
(법인·기관)
(택시)
(일반)",전체,"전체
(우선순위)
(법인·기관)
(택시)
(일반)",
서울,서울특별시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","13688
 (0)
 (0)
 (3000)
 (10688)",13688,0,0,3000,10688,"9210
 (188)
 (452)
 (2150)
 (6420)",9210,188,452,2150,6420,4478,4268,"9210
 (188)
 (452)
 (2150)
 (6420)",9210,"4478
 (0)
 (0)
 (850)
 (4268)","★★★서울시 전기차 지원신청이 마감되었습니다★★★

신청일시 : 2023.2.27.(월) 10:00 ~ 12.15.(금) 18시까지 지원신청가능
(지원신청접수는 12/15 18시에 마감되며
 신청접수한 건에 한하여 자격부여 이후의 단계는 12/15 이후에도 절차대로 진행됨)

보급대수 : 일반 10,688대  택시 3000대

(12월 현재) 접수순 검토하여 자격부여 및 자격부여 후 2개월내 출고해야함 

★자격부여 이후, 10일내 출고가능시 지원가능요청 : 출고예정증빙 첨부하면 대상자 선정★

★★대상자선정 후 10일내 출고, 출고후 10일내 지급신청 하여야 보조금 지급 가능★★

자격부여만 받고 대상자선정 없이 출고시 보조금 지급 불가함

전기택시는 택시정책과 별도 공고
https://www.seoul.go.kr/news/news_notice.do#view/394164"
부산,부산광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","4184
 (474)
 (0)
 (1710)
 (2000)",4184,474,0,1710,2000,"4681
 (70)
 (209)
 (1706)
 (2696)",4681,70,209,1706,2696,0,0,"4668
 (69)
 (207)
 (1706)
 (2686)",4668,"0
 (405)
 (0)
 (4)
 (0)","ㅇ 연간 보급대수 : 7,729대(승용차 4,184, 화물차 3,358, 버스 187)
  ※ 보급대수는 보급여건 및 예산범위 내에서 변동될 수 있음
  - 전기승용차 : 일반 2,000대, 택시 1,710대, 우선순위 474대, 
  - 전기화물차 : 일반 1,000대, 우선순위 1,900대, 택배 등 운송사업자 304대, 중소기업생산물량 154대
  - 전기버스 : 167대(시내버스 우선), 어린이통학버스 20대

★ 보급기간 연장
(당초) 보급기간 : `23. 2. 16.(목) ∼ ‘23. 12. 08.(금) -> (연장) 보급기간 : `23. 2. 16.(목) ∼ ‘23. 12. 15.(금) 
※ 보급기간 내 보조금 지급신청까지 완료하여야 하며, 예산소진 시 신청마감 ▷ 보조금 구매신청이 아닌 보조금 지급신청을 완료하여야 함 
※ (승용) 예산잔액 발생에 따라, 별도의 통지 없을시 23.12.15.(금)까지 지급신청 완료 건에 대하여 잔여대수 관계없이 보조금 지급 예정
※ (화물, 승합) 23.12.15.(금)까지 지급신청 완료 건에 대하여 보조금 지급 예정"
대구,대구광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","3524
 (44)
 (147)
 (888)
 (2445)",3524,44,147,888,2445,"3632
 (43)
 (148)
 (886)
 (2555)",3632,43,148,886,2555,0,0,"3572
 (43)
 (148)
 (868)
 (2513)",3572,"0
 (1)
 (0)
 (20)
 (0)","<2023년 전기자동차(승용) 민간보급사업 안내>
☆ 공고일: 2023.2.13. 
☆ 접수기간: 2023.2.14~2023.12.8. 18:00
 ( 보급기간 내 지급신청까지 완료하여야 하며, 예산 소진 시 신청마감 )
☆ 보급대수: 승용 3,524대
☆ 대상자선정기준: 자동차 출고·등록 순
☆ 신청자격: (개인/개인사업자)구매 지원신청서 접수일 기준으로 최소 30일 이전부터 연속하여 대구시에 거주한 자
(법인)구매 지원신청서 접수일 기준으로 최소 30일 이전부터 연속하여 대구시에 사업장을 둔 법인

★공고문에 첨부된 서식을 사용하시기 바랍니다★

*기타 자세한 내용 공고문 참조
*원본 서류 제출 불필요

☆민원 전화 폭주로 업무 처리가 지연되고 있습니다. 빠른 처리를 위해 단순 접수 알림, 처리 독촉 전화는 가능한 자제 부탁드립니다.☆"
인천,인천광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","8054
 (807)
 (0)
 (807)
 (6440)",8054,807,0,807,6440,"4408
 (79)
 (154)
 (590)
 (3585)",4408,79,154,590,3585,3646,2855,"4401
 (79)
 (153)
 (589)
 (3580)",4401,"3653
 (728)
 (0)
 (218)
 (2860)","★2023년 전기자동차 민간보급사업 안내★
○ 신청기간 : 2023. 6. 26. 09:00 ~ 2023.11. 30. 18:00(예산 소진 시 종료)
   - 상반기 민간보급사업 잔여물량과 하반기 물량을 포함한 보급대수로 본공고 보급물량 변경공고
     ※ 보급대수는 차종별 보조금 차등지원에 따라 예산범위 내에서 변동될 수 있음
○ 보급대수: 8,064대 (일반 6,450대, 택시 807대, 우선순위 807대)
○ 보급대수제한 
   - 개인(개인사업자), 법인, 기관 : 동일 차종 1대
      ※ 초소형 전기승용, 전기승합, 초소형 경형 전기화물을 구매하는 법인은 대수 및 재지원 제한기간 없음
   - 법인 택시 : 제한 없음   
      ※ 2대 이상 구매하고자 하는 법인(승용, 화물)은 한국환경공단 민간보조사업으로 국비만 지원
○ 보조금 재지원제한
   - 재지원제한기간* 내 동일 차종 차량을 구매할 경우 보조금 미지원
      ※ 재지원제한기간 : (승용,승합) 2년/ (화물) 5년
          (‘23년 공고 이전에 지원받은 구매자도 소급적용)
      ※ 기존 노후경유차 조기 폐차한 경우 폐차 1건당 1회 전기화물차 재지원제한기간 미적용"
광주,광주광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","2540
 (254)
 (0)
 (254)
 (2032)",2540,254,0,254,2032,"2284
 (21)
 (119)
 (278)
 (1866)",2284,21,119,278,1866,256,166,"2276
 (21)
 (119)
 (277)
 (1859)",2276,"264
 (233)
 (0)
 (0)
 (173)","2023년도 전기자동차 보급사업 변경공모(3차)

○ 접수마감 : 2023.12.13.(수) 18:00
○ 보조금 지원신청 마감 : 2023.12.19.(화) 18:00"
대전,대전광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","2380
 (0)
 (0)
 (0)
 (2380)",2380,0,0,0,2380,"2409
 (30)
 (115)
 (372)
 (1892)",2409,30,115,372,1892,0,488,"2404
 (30)
 (115)
 (372)
 (1887)",2404,"0
 (0)
 (0)
 (0)
 (493)","* 2023. 7. 1.일부터 ""우선순위물량""을 제외한, ""택시물량"", ""법인물량""은 추가 공고 없이 일반물량과 통합하여 지원

○ 접수기간 : 2023. 2. 17. 16:00 ~ 2023. 11. 30. 18:00
    - 상반기 : 2023. 2. 17. 16:00 ~ 2023. 6. 30. 18:00
    - 하반기 : 2023. 6. 7. 09:00 ~ 2023. 11. 30. 18:00
 * 예산 또는 물량 소진 시까지 / 상반기 잔여분 발생시 하반기 보급물량에 합산
○ 보급대수 : 승용 7,290대(상반기 5,103, 하반기 2,107) * 보급여건 및 예산증감에 따라 변동가능
  - 우선순위 10%, 택시 10%, 일반 80%
○ 신청 대수 제한
  - 개인,법인 : 1대
  - 법인택시 : 50대 (리스 및 장기 렌트일 경우 소재지 또는 실사용자의 주소지 대전시면 지원)

* 지원신청 접수 처리는 약 1~2일소요되며, 빠른 승인을 위해 신청서 승인요청 전화문의는 자제 부탁드립니다."
울산,울산광역시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1494
 (22)
 (0)
 (253)
 (1219)",1494,22,0,253,1219,"1491
 (28)
 (52)
 (352)
 (1059)",1491,28,52,352,1059,3,160,"1491
 (28)
 (52)
 (352)
 (1059)",1491,"3
 (0)
 (0)
 (0)
 (160)","***** 울산시 전기승용차 보급사업 접수 마감되었습니다. *****


 * 보조금 지급신청은 반드시 12.15.(금) 이내로 완료하여야하며, 이후 신청 시 보조금 지급 불가할 수 있습니다.

 * 보조금 지급신청시 첨부파일은 1개의 PDF파일로 저장하여 업로드 바랍니다.(원본 제출 불필요)"
세종,세종특별자치시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","620
 (22)
 (0)
 (20)
 (578)",620,22,0,20,578,"737
 (24)
 (16)
 (20)
 (677)",737,24,16,20,677,0,0,"735
 (24)
 (16)
 (20)
 (675)",735,"0
 (0)
 (0)
 (0)
 (0)","- 보급대수 : 620대(상반기 450, 하반기 170)

- 사업기간 : 2.23.~12.15.(상반기 2.23.~6.30., 하반기 7.1.~12.15.)

- 공고문 확인 후 접수 해주시기 바랍니다.

* 2023년 전기자동차 보조금 사업이 종료되었음을 알려드립니다. *"
경기,수원시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1560
 (38)
 (0)
 (189)
 (1333)",1560,38,0,189,1333,"1783
 (46)
 (30)
 (210)
 (1497)",1783,46,30,210,1497,0,0,"1757
 (45)
 (30)
 (207)
 (1475)",1757,"0
 (0)
 (0)
 (0)
 (0)","□ 사업개요
  ○ 사 업 명 : 전기자동차(승용·화물) 보급사업 변경 공고(2023년 하반기)
  ○ 보급대수(`23. 9. 19.기준 잔여대수) : 총388대(승용 360대, 화물 28대)
   - 승용 : 일반 290대 / 우선순위 70대(최대보조금 기준으로 대수 산정/ 10월 4일(수) 9시 부터 추가공고 없이 미집행 우선순위물량과 일반물량 통합)
   - 화물 : 택배  28대(일반,우선순위,중소기업 물량 마감/ 10월 4일(수) 9시 부터 추가공고 없이 미집행 택배물량에 대해 일반물량으로 전환)
   ○ 보급기간 
    - 승용 :  2023. 7. 3.(월) 09:00 ~ 2023. 12. 8.(금) 18:00
    - 화물 :  2023. 7. 7.(금) 09:00 ~ 2023. 12. 8.(금) 18:00
  ○ 신청대상 : 신청일로부터 60일 이상 시에 연속하여 거주한 개인 또는 법인
  ○ 신청방법 : 제조·수입사에서 무공해차 통합누리집(ev.or.kr)의 전산지원시스템으로 신청
  ○ 선정기준 : 자동차 출고·등록순
  ○ 보급차량 : 관계 법령에 의해 각종 인증을 모두 완료한 전기자동차
  ○ 자세한 사항은 공고문 참조
   * 사업추이에 따라 추가공고 없이 예산 및 보급대수가 변동될 수 있음
   ** 사업의 원활한 집행을 위해 12월 15일(금)까지 출고 및 차량등록 완료하고 지급신청까지 가능한 차량에 대해서만 지원가능(12월 15일 이후 지급신청 건에 대해서는 보조금 미지급)
---------------------------------------------
전산 상 표시되어있는 잔여대수와 실제 보급가능대수(=대상자선정 가능 대수)가 상이함. (차종마다 보조금 산정금액이 상이하기 때문)
---------<2023. 10. 30. 15시 05분 기준 잔여대수 대상자 선정 완료 >-------------
취소물량 발생 시 지원가능요청순으로 연락예정"
