총괄현황(전기차),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
시도,지역구분,차종,접수방법,민간공고대수,,,,,,,접수대수,,,,,,,접수 잔여대수,,출고대수,,출고잔여대수,비고
,,,,"전체
(우선순위)
(중소기업)
(법인·기관)
(일반)",전체,우선순위,중소기업,법인·기관,택배,일반,"전체
(우선순위)
(중소기업)
(법인·기관)
(일반)",전체,우선순위,중소기업,법인·기관,택배,일반,전체,일반,"전체
(우선순위)
(중소기업)
(법인·기관)
(택배)
(일반)",전체,"전체
(우선순위)
(중소기업)
(법인·기관)
(택배)
(일반)",
서울,서울특별시,전기화물,"*일반: 접수순
*우선: 접수순","2495
 (395)
 (200)
 (0)
 (0)
 (1900)",2495,395,200,0,0,1900,"2501
 (158)
 (325)
 (0)
 (0)
 (2018)",2501,158,325,0,0,2018,0,0,"2501
 (158)
 (325)
 (0)
 (0)
 (2018)",2501,"0
 (237)
 (0)
 (0)
 (0)
 (0)",★서울시 2022 공고 2월 중순 예정★
부산,부산광역시,전기화물,"*일반: 접수순(초과시 출고등록순)
*우선: 출고등록순","1239
 (16)
 (57)
 (0)
 (0)
 (1166)",1239,16,57,0,0,1166,"1610
 (14)
 (60)
 (0)
 (0)
 (1536)",1610,14,60,0,0,1536,0,0,"1382
 (14)
 (53)
 (0)
 (0)
 (1315)",1382,"0
 (2)
 (4)
 (0)
 (0)
 (0)",21년 전기화물차 보급사업 마감
대구,대구광역시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","1248
 (0)
 (0)
 (0)
 (0)
 (1248)",1248,0,0,0,0,1248,"1232
 (1)
 (44)
 (0)
 (0)
 (1187)",1232,1,44,0,0,1187,16,61,"1232
 (1)
 (44)
 (0)
 (0)
 (1187)",1232,"16
 (0)
 (0)
 (0)
 (0)
 (61)",
인천,인천광역시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","1323
 (0)
 (0)
 (0)
 (0)
 (1323)",1323,0,0,0,0,1323,"1630
 (19)
 (82)
 (0)
 (0)
 (1529)",1630,19,82,0,0,1529,0,0,"1305
 (19)
 (52)
 (0)
 (0)
 (1234)",1305,"18
 (0)
 (0)
 (0)
 (0)
 (89)","(공지사항)
전기화물차 대상자 선정이 마감되었음을 알려드립니다."
광주,광주광역시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","778
 (78)
 (78)
 (0)
 (0)
 (622)",778,78,78,0,0,622,"769
 (20)
 (22)
 (0)
 (0)
 (727)",769,20,22,0,0,727,9,0,"769
 (20)
 (22)
 (0)
 (0)
 (727)",769,"9
 (58)
 (56)
 (0)
 (0)
 (0)",대상자 선정마감되었습니다.
대전,대전광역시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","596
 (59)
 (59)
 (0)
 (0)
 (478)",596,59,59,0,0,478,"581
 (16)
 (20)
 (0)
 (0)
 (545)",581,16,20,0,0,545,15,0,"581
 (16)
 (20)
 (0)
 (0)
 (545)",581,"15
 (43)
 (39)
 (0)
 (0)
 (0)",
울산,울산광역시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","399
 (40)
 (35)
 (0)
 (0)
 (324)",399,40,35,0,0,324,"399
 (40)
 (3)
 (0)
 (0)
 (356)",399,40,3,0,0,356,0,0,"399
 (40)
 (3)
 (0)
 (0)
 (356)",399,"0
 (0)
 (32)
 (0)
 (0)
 (0)",화물차 대상자 확정 마감
세종,세종특별자치시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","80
 (8)
 (8)
 (0)
 (0)
 (64)",80,8,8,0,0,64,"94
 (5)
 (5)
 (0)
 (0)
 (84)",94,5,5,0,0,84,0,0,"81
 (4)
 (3)
 (0)
 (0)
 (74)",81,"0
 (4)
 (5)
 (0)
 (0)
 (0)",전기화물차 대상자 확정 마감되었음
경기,수원시,전기화물,"*일반: 출고등록순
*우선: 접수순","221
 (43)
 (20)
 (0)
 (0)
 (158)",221,43,20,0,0,158,"221
 (32)
 (13)
 (0)
 (0)
 (176)",221,32,13,0,0,176,0,0,"221
 (32)
 (13)
 (0)
 (0)
 (176)",221,"0
 (11)
 (7)
 (0)
 (0)
 (0)","○ 휴먼콜센터(1899-3300)  
○ 하반기 지원사업 마감(12.13.)"
